,start_date,start_station_code,end_date,end_station_code,duration_sec,is_member,dow,day_count_year,day_count_ref
508630,2015-05-29 19:23:00,6184,2015-05-29 19:49:00,6085,1553,1,0.0,149,514
516459,2015-05-30 04:48:00,6184,2015-05-30 05:10:00,6085,1325,0,0.0,150,515
1545,2015-06-01 08:27:00,6184,2015-06-01 08:57:00,6085,1826,1,0.0,152,517
53077,2015-06-04 09:09:00,6184,2015-06-04 09:29:00,6085,1186,1,0.0,155,520
75979,2015-06-05 09:02:00,6184,2015-06-05 09:22:00,6085,1206,1,0.0,156,521
129067,2015-06-08 14:53:00,6184,2015-06-08 15:11:00,6085,1110,1,0.0,159,524
142883,2015-06-09 13:16:00,6184,2015-06-09 13:35:00,6085,1172,1,0.0,160,525
178798,2015-06-11 15:25:00,6184,2015-06-11 15:46:00,6085,1280,1,0.0,162,527
244053,2015-06-14 22:17:00,6184,2015-06-14 22:47:00,6085,1802,0,0.0,165,530
249590,2015-06-15 11:46:00,6184,2015-06-15 12:09:00,6085,1360,0,0.0,166,531
267222,2015-06-16 14:23:00,6184,2015-06-16 14:46:00,6085,1383,1,0.0,167,532
308080,2015-06-18 13:01:00,6184,2015-06-18 13:23:00,6085,1352,1,0.0,169,534
327028,2015-06-19 11:11:00,6184,2015-06-19 11:30:00,6085,1176,1,0.0,170,535
353690,2015-06-20 15:04:00,6184,2015-06-20 15:27:00,6085,1410,1,0.0,171,536
371550,2015-06-21 14:23:00,6184,2015-06-21 14:40:00,6085,1029,1,0.0,172,537
420393,2015-06-24 04:01:00,6184,2015-06-24 04:32:00,6085,1848,1,0.0,175,540
431408,2015-06-24 17:38:00,6184,2015-06-24 17:59:00,6085,1240,1,0.0,175,540
441052,2015-06-25 09:23:00,6184,2015-06-25 09:41:00,6085,1091,1,0.0,176,541
441298,2015-06-25 09:36:00,6184,2015-06-25 10:00:00,6085,1428,1,0.0,176,541
441881,2015-06-25 10:17:00,6184,2015-06-25 10:37:00,6085,1200,1,0.0,176,541
483396,2015-06-27 01:43:00,6184,2015-06-27 02:02:00,6085,1147,1,0.0,178,543
483400,2015-06-27 01:43:00,6184,2015-06-27 02:02:00,6085,1122,1,0.0,178,543
492157,2015-06-27 14:54:00,6184,2015-06-27 15:19:00,6085,1485,1,0.0,178,543
524524,2015-06-29 20:01:00,6184,2015-06-29 20:24:00,6085,1413,1,0.0,180,545
23267,2015-07-02 17:45:00,6184,2015-07-02 18:11:00,6085,1528,1,0.0,183,548
58481,2015-07-04 09:08:00,6184,2015-07-04 09:27:00,6085,1138,1,0.0,185,550
80868,2015-07-05 08:30:00,6184,2015-07-05 08:48:00,6085,1051,1,0.0,186,551
124944,2015-07-07 09:54:00,6184,2015-07-07 10:16:00,6085,1302,1,0.0,188,553
143013,2015-07-08 09:14:00,6184,2015-07-08 09:34:00,6085,1193,1,0.0,189,554
143689,2015-07-08 09:54:00,6184,2015-07-08 10:13:00,6085,1152,1,0.0,189,554
190192,2015-07-10 09:35:00,6184,2015-07-10 09:52:00,6085,1062,1,0.0,191,556
195107,2015-07-10 14:12:00,6184,2015-07-10 14:31:00,6085,1175,1,0.0,191,556
239844,2015-07-12 17:04:00,6184,2015-07-12 17:24:00,6085,1196,1,0.0,193,558
247632,2015-07-13 07:32:00,6184,2015-07-13 08:04:00,6085,1889,1,0.0,194,559
283109,2015-07-14 18:12:00,6184,2015-07-14 18:31:00,6085,1126,1,0.0,195,560
291480,2015-07-15 08:16:00,6184,2015-07-15 08:35:00,6085,1129,1,0.0,196,561
294502,2015-07-15 10:23:00,6184,2015-07-15 10:43:00,6085,1149,1,0.0,196,561
315039,2015-07-16 08:09:00,6184,2015-07-16 08:25:00,6085,962,1,0.0,197,562
338576,2015-07-17 08:04:00,6184,2015-07-17 08:21:00,6085,1061,1,0.0,198,563
347187,2015-07-17 15:27:00,6184,2015-07-17 15:48:00,6085,1279,1,0.0,198,563
355527,2015-07-17 22:14:00,6184,2015-07-17 22:38:00,6085,1432,0,0.0,198,563
355532,2015-07-17 22:14:00,6184,2015-07-17 22:38:00,6085,1421,0,0.0,198,563
373754,2015-07-19 03:39:00,6184,2015-07-19 03:59:00,6085,1168,0,0.0,200,565
380113,2015-07-19 15:38:00,6184,2015-07-19 15:57:00,6085,1117,1,0.0,200,565
388592,2015-07-20 09:01:00,6184,2015-07-20 09:20:00,6085,1133,1,0.0,201,566
389011,2015-07-20 09:22:00,6184,2015-07-20 09:42:00,6085,1215,1,0.0,201,566
389467,2015-07-20 09:54:00,6184,2015-07-20 10:15:00,6085,1254,1,0.0,201,566
410086,2015-07-21 10:00:00,6184,2015-07-21 10:17:00,6085,1005,1,0.0,202,567
410764,2015-07-21 13:17:00,6184,2015-07-21 13:38:00,6085,1229,1,0.0,202,567
416676,2015-07-21 19:03:00,6184,2015-07-21 19:22:00,6085,1134,0,0.0,202,567
424637,2015-07-22 09:42:00,6184,2015-07-22 09:59:00,6085,1011,1,0.0,203,568
444254,2015-07-23 08:32:00,6184,2015-07-23 08:50:00,6085,1070,1,0.0,204,569
466318,2015-07-24 10:02:00,6184,2015-07-24 10:19:00,6085,1007,1,0.0,205,570
470096,2015-07-24 14:17:00,6184,2015-07-24 14:37:00,6085,1190,1,0.0,205,570
478940,2015-07-24 20:01:00,6184,2015-07-24 20:23:00,6085,1321,1,0.0,205,570
520863,2015-07-27 08:56:00,6184,2015-07-27 09:14:00,6085,1068,1,0.0,208,573
540050,2015-07-28 09:31:00,6184,2015-07-28 09:49:00,6085,1054,1,0.0,209,574
603811,2015-07-31 10:06:00,6184,2015-07-31 10:23:00,6085,1011,1,0.0,212,577
100586,2015-08-06 03:05:00,6184,2015-08-06 03:24:00,6085,1164,1,0.0,218,583
125768,2015-08-07 09:37:00,6184,2015-08-07 09:57:00,6085,1181,1,0.0,219,584
142940,2015-08-08 02:51:00,6184,2015-08-08 03:08:00,6085,1006,1,0.0,220,585
145591,2015-08-08 11:02:00,6184,2015-08-08 11:21:00,6085,1166,1,0.0,220,585
215842,2015-08-12 15:45:00,6184,2015-08-12 16:06:00,6085,1253,1,0.0,224,589
231199,2015-08-13 10:47:00,6184,2015-08-13 11:06:00,6085,1147,1,0.0,225,590
365445,2015-08-20 10:51:00,6184,2015-08-20 11:11:00,6085,1168,1,0.0,232,597
366257,2015-08-20 11:56:00,6184,2015-08-20 12:15:00,6085,1144,1,0.0,232,597
367302,2015-08-20 13:01:00,6184,2015-08-20 13:22:00,6085,1264,1,0.0,232,597
441846,2015-08-24 09:36:00,6184,2015-08-24 09:57:00,6085,1259,1,0.0,236,601
134391,2015-09-07 18:42:00,6184,2015-09-07 19:00:00,6085,1090,1,0.0,250,615
181187,2015-09-10 09:02:00,6184,2015-09-10 09:21:00,6085,1115,1,0.0,253,618
251418,2015-09-15 09:09:00,6184,2015-09-15 09:28:00,6085,1177,1,0.0,258,623
272622,2015-09-16 09:21:00,6184,2015-09-16 09:38:00,6085,1010,1,0.0,259,624
293923,2015-09-17 09:15:00,6184,2015-09-17 09:34:00,6085,1143,1,0.0,260,625
304017,2015-09-17 17:46:00,6184,2015-09-17 18:07:00,6085,1291,1,0.0,260,625
314413,2015-09-18 08:37:00,6184,2015-09-18 08:59:00,6085,1326,1,0.0,261,626
368073,2015-09-21 10:52:00,6184,2015-09-21 11:14:00,6085,1342,1,0.0,264,629
385396,2015-09-22 08:47:00,6184,2015-09-22 09:10:00,6085,1365,1,0.0,265,630
407119,2015-09-23 08:53:00,6184,2015-09-23 09:14:00,6085,1271,1,0.0,266,631
422119,2015-09-23 20:54:00,6184,2015-09-23 21:16:00,6085,1297,1,0.0,266,631
428876,2015-09-24 09:41:00,6184,2015-09-24 10:01:00,6085,1257,1,0.0,267,632
448994,2015-09-25 10:20:00,6184,2015-09-25 10:40:00,6085,1198,1,0.0,268,633
450778,2015-09-25 12:50:00,6184,2015-09-25 13:08:00,6085,1086,1,0.0,268,633
494259,2015-09-28 11:02:00,6184,2015-09-28 11:22:00,6085,1236,1,0.0,271,636
507958,2015-09-29 10:10:00,6184,2015-09-29 10:28:00,6085,1123,1,0.0,272,637
83616,2015-10-07 10:34:00,6184,2015-10-07 10:58:00,6085,1403,1,0.0,280,645
163761,2015-10-14 16:17:00,6184,2015-10-14 16:39:00,6085,1364,1,0.0,287,652
233599,2015-10-21 13:56:00,6184,2015-10-21 14:21:00,6085,1509,0,0.0,294,659
291499,2015-10-27 12:37:00,6184,2015-10-27 12:57:00,6085,1194,1,0.0,300,665
87383,2015-11-10 10:10:00,6184,2015-11-10 10:32:00,6085,1337,1,0.0,314,679
1685,2016-04-15 09:42:00,6184,2016-04-15 10:03:00,6085,1240,1,0.0,106,836
37428,2016-04-18 11:28:00,6184,2016-04-18 11:47:00,6085,1149,1,0.0,109,839
42993,2016-04-19 10:12:00,6184,2016-04-19 10:35:00,6085,1374,1,0.0,110,840
55799,2016-04-20 10:08:00,6184,2016-04-20 10:27:00,6085,1185,1,0.0,111,841
69252,2016-04-21 09:39:00,6184,2016-04-21 09:58:00,6085,1149,1,0.0,112,842
130173,2016-04-26 09:46:00,6184,2016-04-26 10:07:00,6085,1269,1,0.0,117,847
168774,2016-04-29 11:34:00,6184,2016-04-29 11:55:00,6085,1260,1,0.0,120,850
20122,2016-05-03 10:42:00,6184,2016-05-03 11:01:00,6085,1162,1,0.0,124,854
51810,2016-05-05 09:05:00,6184,2016-05-05 09:22:00,6085,1040,1,0.0,126,856
73362,2016-05-06 12:07:00,6184,2016-05-06 12:25:00,6085,1113,1,0.0,127,857
116957,2016-05-09 09:40:00,6184,2016-05-09 10:00:00,6085,1196,1,0.0,130,860
132322,2016-05-10 10:20:00,6184,2016-05-10 10:37:00,6085,1002,1,0.0,131,861
173029,2016-05-12 09:50:00,6184,2016-05-12 10:07:00,6085,1067,1,0.0,133,863
196361,2016-05-13 10:15:00,6184,2016-05-13 10:35:00,6085,1237,1,0.0,134,864
262835,2016-05-18 10:29:00,6184,2016-05-18 10:48:00,6085,1162,1,0.0,139,869
389133,2016-05-24 10:42:00,6184,2016-05-24 11:01:00,6085,1142,1,0.0,145,875
457989,2016-05-27 09:53:00,6184,2016-05-27 10:14:00,6085,1316,1,0.0,148,878
555950,2016-05-31 10:08:00,6184,2016-05-31 10:29:00,6085,1255,1,0.0,152,882
9827,2016-06-01 13:41:00,6184,2016-06-01 14:06:00,6085,1509,1,0.0,153,883
122087,2016-06-06 19:51:00,6184,2016-06-06 20:17:00,6085,1551,1,0.0,158,888
129835,2016-06-07 09:57:00,6184,2016-06-07 10:15:00,6085,1104,1,0.0,159,889
149012,2016-06-08 07:51:00,6184,2016-06-08 08:14:00,6085,1392,1,0.0,160,890
153010,2016-06-08 10:11:00,6184,2016-06-08 10:30:00,6085,1130,1,0.0,160,890
226825,2016-06-12 00:48:00,6184,2016-06-12 01:08:00,6085,1233,1,0.0,164,894
244709,2016-06-13 11:20:00,6184,2016-06-13 11:41:00,6085,1242,1,0.0,165,895
268725,2016-06-14 13:26:00,6184,2016-06-14 13:46:00,6085,1178,1,0.0,166,896
414380,2016-06-20 09:10:00,6184,2016-06-20 09:32:00,6085,1338,1,0.0,172,902
439981,2016-06-21 11:43:00,6184,2016-06-21 12:05:00,6085,1316,1,0.0,173,903
460311,2016-06-22 08:05:00,6184,2016-06-22 08:27:00,6085,1296,1,0.0,174,904
575225,2016-06-27 17:25:00,6184,2016-06-27 17:59:00,6085,2068,1,0.0,179,909
604666,2016-06-29 10:49:00,6184,2016-06-29 11:10:00,6085,1263,1,0.0,181,911
623103,2016-06-30 08:35:00,6184,2016-06-30 08:56:00,6085,1288,1,0.0,182,912
625691,2016-06-30 10:28:00,6184,2016-06-30 10:49:00,6085,1257,1,0.0,182,912
99831,2016-07-05 17:02:00,6184,2016-07-05 17:30:00,6085,1647,1,0.0,187,917
139180,2016-07-07 06:05:00,6184,2016-07-07 06:25:00,6085,1168,1,0.0,189,919
220033,2016-07-11 11:56:00,6184,2016-07-11 12:17:00,6085,1262,1,0.0,193,923
407920,2016-07-19 11:50:00,6184,2016-07-19 12:10:00,6085,1218,1,0.0,201,931
427860,2016-07-20 08:03:00,6184,2016-07-20 08:23:00,6085,1225,1,0.0,202,932
503250,2016-07-23 02:53:00,6184,2016-07-23 03:10:00,6085,988,0,0.0,205,935
662651,2016-07-30 03:11:00,6184,2016-07-30 03:42:00,6085,1855,1,0.0,212,942
690323,2016-07-31 08:53:00,6184,2016-07-31 09:15:00,6085,1278,1,0.0,213,943
315154,2016-08-15 10:35:00,6184,2016-08-15 10:56:00,6085,1258,1,0.0,228,958
461821,2016-08-22 13:36:00,6184,2016-08-22 13:56:00,6085,1227,1,0.0,235,965
539759,2016-08-25 18:15:00,6184,2016-08-25 18:42:00,6085,1634,1,0.0,238,968
596541,2016-08-28 03:33:00,6184,2016-08-28 03:54:00,6085,1234,1,0.0,241,971
662784,2016-08-30 21:16:00,6184,2016-08-30 21:40:00,6085,1441,1,0.0,243,973
662786,2016-08-30 21:16:00,6184,2016-08-30 21:40:00,6085,1430,1,0.0,243,973
159082,2016-09-08 00:10:00,6184,2016-09-08 00:29:00,6085,1109,1,0.0,252,982
511002,2016-09-24 22:55:00,6184,2016-09-24 23:36:00,6085,2473,0,0.0,268,998
1231,2016-10-01 03:05:00,6184,2016-10-01 03:27:00,6085,1301,1,0.0,275,1005
130657,2016-10-08 01:58:00,6184,2016-10-08 02:21:00,6085,1396,0,0.0,282,1012
135212,2016-10-08 22:40:00,6184,2016-10-08 23:01:00,6085,1220,0,0.0,282,1012
238261,2016-10-16 00:55:00,6184,2016-10-16 01:17:00,6085,1354,1,0.0,290,1020
238262,2016-10-16 00:55:00,6184,2016-10-16 01:17:00,6085,1340,1,0.0,290,1020
295623,2016-10-20 08:27:00,6184,2016-10-20 08:46:00,6085,1172,1,0.0,294,1024
357029,2016-10-27 08:31:00,6184,2016-10-27 08:52:00,6085,1260,1,0.0,301,1031
169550,2017-04-29 00:24:00,6184,2017-04-29 00:44:00,6085,1196,1,0.0,119,1215
376173,2017-05-22 01:54:00,6184,2017-05-22 02:13:00,6085,1162,1,0.0,142,1238
498574,2017-05-28 02:55:00,6184,2017-05-28 03:16:00,6085,1309,1,0.0,148,1244
530653,2017-05-28 20:37:00,6184,2017-05-28 21:03:00,6085,1536,0,0.0,148,1244
530669,2017-05-28 20:38:00,6184,2017-05-28 21:03:00,6085,1500,0,0.0,148,1244
208946,2017-06-10 01:33:00,6184,2017-06-10 01:53:00,6085,1204,1,0.0,161,1257
491447,2017-06-20 17:09:00,6184,2017-06-20 17:35:00,6085,1523,1,0.0,171,1267
663432,2017-06-27 11:03:00,6184,2017-06-27 11:24:00,6085,1239,1,0.0,178,1274
670159,2017-06-27 16:59:00,6184,2017-06-27 17:25:00,6085,1604,1,0.0,178,1274
79141,2017-07-04 10:19:00,6184,2017-07-04 10:37:00,6085,1074,1,0.0,185,1281
233787,2017-07-09 13:42:00,6184,2017-07-09 13:57:00,6085,878,1,0.0,190,1286
349641,2017-07-13 16:58:00,6184,2017-07-13 17:22:00,6085,1424,1,0.0,194,1290
412280,2017-07-16 00:30:00,6184,2017-07-16 00:50:00,6085,1183,1,0.0,197,1293
567943,2017-07-21 13:28:00,6184,2017-07-21 13:45:00,6085,1057,1,0.0,202,1298
37685,2017-08-02 09:17:00,6184,2017-08-02 09:36:00,6085,1109,1,0.0,214,1310
39078,2017-08-02 10:20:00,6184,2017-08-02 10:37:00,6085,1015,1,0.0,214,1310
204924,2017-08-08 16:19:00,6184,2017-08-08 16:47:00,6085,1684,1,0.0,220,1316
533567,2017-08-20 12:04:00,6184,2017-08-20 12:25:00,6085,1246,0,0.0,232,1328
679758,2017-09-28 08:10:00,6184,2017-09-28 08:26:00,6085,973,1,0.0,271,1367
738079,2017-09-30 15:09:00,6184,2017-09-30 15:28:00,6085,1095,1,0.0,273,1369
26945,2017-10-02 13:13:00,6184,2017-10-02 13:29:00,6085,958,1,0.0,275,1371
154184,2017-10-08 03:44:00,6184,2017-10-08 04:02:00,6085,1120,1,0.0,281,1377
264465,2017-10-14 00:58:00,6184,2017-10-14 01:19:00,6085,1251,0,0.0,287,1383
264489,2017-10-14 01:00:00,6184,2017-10-14 01:19:00,6085,1146,0,0.0,287,1383
332742,2017-10-18 09:30:00,6184,2017-10-18 09:48:00,6085,1062,0,0.0,291,1387
115507,2017-11-12 01:05:00,6184,2017-11-12 01:26:00,6085,1224,0,0.0,316,1412
