id,sup,tot,ht_h,ht_a,ft_h,ft_a
1819,0.18,2.24,0,0,1,2
1820,0.09,2.9,0,0,0,1
1821,-0.36,2.58,1,1,1,1
1822,0.46,3.34,1,0,4,2
1823,0.24,2.37,0,0,0,0
1824,0.09,3.1,0,2,0,2
1825,0.06,2.65,1,0,2,0
1826,-1.21,2.77,0,0,1,1
1827,0.53,2.98,3,0,5,0
1828,1.1,3.08,0,0,0,1
1829,1.09,2.47,1,0,1,1
1830,1.58,3.2,0,0,2,0
1831,-0.23,2.82,0,0,1,1
1832,0.95,2.8,1,1,1,3
1833,-0.62,3.04,0,1,0,1
1834,0.37,2.83,1,0,1,0
1835,-0.65,2.82,0,0,1,1
1836,0.06,2.06,0,0,2,1
1837,-0.56,2.5,0,0,1,1
1838,1.27,2.63,2,1,5,2
1839,0.46,2.7,0,0,0,0
1840,-1.57,3.04,0,0,0,1
1841,0.13,2.79,1,0,2,0
1842,0.63,2.24,0,0,1,0
1843,0.63,2.83,0,0,0,0
1844,-0.22,2.89,0,0,0,1
1845,0.28,2.12,2,1,3,1
1846,0.06,2.9,2,1,3,1
1847,0.94,2.69,3,0,4,1
1848,-0.09,2.41,1,2,2,2
1849,0.6,2.58,1,0,1,0
1850,0.41,2.19,0,1,1,2
1851,0.96,2.16,1,0,1,0
1852,0.93,2.81,1,0,2,0
1853,0.58,3.03,2,0,3,0
1854,0.81,2.89,0,0,3,0
1855,0.13,2.96,1,0,1,2
1856,-0.76,2.58,0,2,0,3
1857,0.5,2.89,1,0,2,0
1858,-1,2.75,0,0,0,1
1859,1.36,2.79,1,0,1,0
1860,-0.86,2.73,0,1,1,3
1861,-0.17,2.95,0,1,0,4
1862,-0.04,2.96,0,0,0,0
1863,0.11,2.73,1,0,1,0
1864,-0.12,2.69,0,0,1,0
1865,0.57,3,1,1,2,1
1866,0,2.29,0,1,1,2
1867,1.93,3.2,1,0,1,0
1868,0.47,2.72,0,0,0,0
1869,-1.2,2.92,0,0,1,1
1870,1.19,2.95,0,1,0,2
1871,-0.32,2.66,0,0,0,0
1872,0.25,2.67,2,0,3,1
1873,0.15,3.08,1,0,1,0
1874,1.63,3.08,2,0,4,0
1875,0.68,2.67,0,0,3,1
1876,-0.14,2.56,0,0,1,0
1877,1.35,2.86,1,0,2,0
1878,1.09,2.96,1,0,4,1
1879,-1.17,2.75,0,0,1,1
1880,-0.09,2.74,1,0,3,1
1881,-1.09,3.09,0,1,0,2
1882,-0.23,2.44,0,0,1,0
1883,0.38,2.64,0,3,1,3
1884,0.05,2.49,0,0,0,0
1885,0,2.66,2,1,3,2
1886,0.57,2.2,0,0,0,0
1887,-0.37,2.01,0,0,1,1
1888,0.34,2.92,1,0,2,0
1889,0,2.13,1,1,1,1
1890,0.12,2.32,0,0,1,0
1891,0.33,2.4,0,0,2,0
1892,0.23,2.24,1,0,4,0
1893,0.24,2.48,0,0,0,0
1894,0.79,2.08,0,0,1,0
1895,0.85,2.86,1,0,1,0
1896,0.42,2.39,1,0,1,0
1897,0.36,2.05,0,0,1,1
1898,0.07,2.61,0,0,1,4
1899,1.04,2.13,0,0,2,0
1900,0.36,2.25,0,0,0,0
1901,1.05,2.63,2,0,5,1
1902,1.23,3.08,1,0,4,0
1903,0.58,2.38,1,2,2,2
1904,0.51,2.77,1,0,3,1
1905,-0.12,3.04,0,1,1,2
1906,0.53,2.74,0,0,2,1
1907,0.46,2.47,2,0,2,0
1908,-0.01,2.25,0,0,0,0
1909,0.42,2.29,1,0,1,1
1910,0.27,3.16,2,0,2,2
1911,0.88,3.29,2,0,2,0
1912,0.67,2.7,0,0,0,2
1913,-1.23,2.88,0,1,0,2
1914,0.43,2.91,0,0,1,2
1915,0.79,3.27,1,0,3,1
1916,0.38,2.3,0,1,3,1
1917,-0.24,2.08,1,0,1,0
1918,-0.38,2.66,1,1,1,1
1919,0.17,2.42,1,0,2,2
1920,0.01,2.57,1,0,3,3
1921,0.12,2.7,0,3,1,3
1922,0.02,2.62,2,1,3,1
1923,-0.93,3.18,1,0,1,2
1924,0.33,2.41,0,0,0,0
1925,-0.77,2.56,1,1,1,1
1926,-0.43,2.56,1,1,1,2
1927,-1.56,2.59,0,0,0,2
1928,0.7,2.42,1,2,2,2
1929,0.01,2.16,1,0,2,0
1930,0.15,2.61,3,0,4,0
1931,1.09,3.25,2,1,3,1
1932,0.9,2.23,1,0,3,0
1933,0.96,2.86,1,0,1,0
1934,0.38,2.53,0,0,1,2
1935,-0.52,2.67,0,0,1,3
1936,0.79,3.19,1,1,3,1
1937,0.28,2.86,0,0,1,1
1938,-1.68,3.32,0,4,2,7
1939,0.25,2.56,0,1,1,1
1940,0.07,2.67,0,0,1,1
1941,0.57,2.57,2,0,2,1
1942,-0.45,3.19,1,1,3,1
1943,0.72,2.73,0,0,1,0
1944,1.17,3.04,1,0,3,1
1945,-0.81,2.74,0,0,2,2
1946,0.2,2.29,0,3,1,5
1947,0.16,2.77,2,0,2,1
1948,0.8,2.47,0,1,1,1
1949,-0.29,2.43,1,1,2,2
1950,-0.09,2.76,1,0,3,0
1951,-0.46,2.82,0,1,0,1
1952,-1.08,2.86,0,1,0,3
1953,0.54,2.94,0,0,0,0
1954,0.52,2.73,1,0,3,0
1955,-0.19,3.03,1,1,2,2
1956,-0.26,2.91,0,1,1,1
1957,0.64,2.2,0,0,0,0
1958,1.14,2.47,0,1,0,2
1959,-0.5,2.95,1,0,1,0
1960,-0.85,2.38,0,0,0,1
1961,0.11,2.8,1,1,2,2
1962,0.55,2.38,0,0,0,0
1963,-0.77,2.88,0,1,1,3
1964,0.2,2.78,0,1,2,2
1965,0.12,2.5,1,0,1,1
1966,0.18,2.54,0,0,2,0
1967,-0.28,2.33,1,0,3,2
1968,0.44,2.56,1,0,1,1
1969,0.1,2.66,0,0,2,1
1970,0.42,2.63,0,2,0,2
1971,0.35,2.68,0,0,2,0
1972,0.06,2.58,0,2,1,3
1973,0.27,2.62,0,0,0,0
1974,0.19,2.69,2,1,3,1
1975,0.32,2.32,1,0,1,0
1976,-0.4,2.38,0,0,0,1
1977,0.59,2.73,1,0,2,0
1978,0.08,2.7,1,1,1,4
1979,-0.94,2.92,0,0,0,0
1980,-1.16,2.62,0,2,1,2
1981,-0.27,2.05,1,1,2,2
1982,-0.06,2.6,0,0,0,0
1983,0.85,3.35,1,1,2,1
1984,1.11,3.24,3,0,7,0
1985,0.96,2.84,0,0,4,0
1986,1.97,3.07,1,0,1,0
1987,-0.77,2.61,0,2,1,4
1988,0.33,2.94,0,0,3,0
1989,1.06,2.79,0,1,0,1
1990,1.8,2.91,1,1,2,1
1991,0.07,2.25,0,1,0,1
1992,-0.31,2.8,1,1,2,2
1993,0.46,2.65,0,0,0,0
1994,1.18,2.91,4,0,6,0
1995,1.19,2.56,1,0,3,0
1996,0.34,2.65,2,0,2,0
1997,0.74,2.73,1,0,1,0
1998,0.45,2.58,0,1,1,1
1999,0.44,2.53,1,0,3,1
2000,1.13,2.52,0,0,0,2
2001,0.14,2.19,0,0,0,1
2002,1.29,2.77,2,0,3,0
2003,-0.33,2.51,1,0,1,0
2004,0.05,2.71,0,0,1,1
2005,0.4,3.24,0,0,2,0
2006,0.11,2.62,0,1,0,2
2007,-0.27,2.86,0,0,0,1
2008,0.5,2.71,0,0,1,0
2009,-0.65,2.69,1,1,1,1
2010,0.27,2.56,0,0,0,0
2011,0.61,2.74,1,0,3,0
2012,1.13,2.65,1,1,2,2
2013,0.59,2.22,1,0,1,1
2014,-0.35,2.65,0,0,1,1
2015,-0.14,2.41,0,2,0,2
2016,1.78,3.21,5,0,7,0
2017,1.23,3.26,0,0,4,1
2018,0.45,2.83,1,0,4,1
2019,-0.15,2.41,2,0,2,1
2020,0.38,2.69,2,0,3,3
2021,0.48,2.83,0,2,2,2
2022,1.38,2.81,0,1,1,1
2023,0.94,3.03,0,1,1,1
2024,0.03,2.38,3,0,3,0
2025,-0.93,3.33,0,0,1,2
2026,0.53,2.61,0,0,0,1
2027,-0.87,2.51,0,0,0,1
2028,1.91,2.86,2,0,3,0
2029,0.42,2.18,1,0,2,1
2030,1.45,2.8,0,0,1,0
2031,-1.15,2.92,0,1,0,4
2032,0.23,3.15,2,2,2,5
2033,1.14,2.11,2,0,4,0
2034,-0.11,2.32,0,1,1,2
2035,0.92,3.31,0,0,0,1
2036,0.32,2.48,4,0,5,0
2037,0.45,2.88,1,1,1,1
2038,1.22,3.19,1,0,3,1
2039,1.22,3.07,2,0,2,0
2040,0.02,2.47,1,0,1,0
2041,0.57,2.51,1,2,6,2
2042,0.02,2.49,0,0,0,1
2043,0.92,2.57,0,0,0,0
2044,-0.24,2.71,0,1,0,3
2045,-0.48,2.79,0,1,0,4
2046,0.11,2.74,0,2,0,2
2047,1.63,3.01,1,0,5,2
2048,0.63,3.25,0,0,0,0
2049,1.02,2.35,0,0,1,0
2050,1.87,2.75,0,0,0,1
2051,0.57,2.11,3,2,4,3
2052,-0.05,2.66,0,0,2,2
2053,-0.62,2.12,0,1,1,2
2054,1.93,3.25,2,1,3,2
2055,-0.66,2.8,0,1,0,1
2056,-0.86,3.02,0,3,0,4
2057,0.59,2.34,1,0,1,0
2058,0.31,2.86,0,0,0,1
2059,0.09,2.81,0,0,1,0
2060,-0.39,2.87,1,2,2,3
2061,0.59,2.64,0,0,2,0
2062,0.44,3.21,0,1,1,1
2063,0.43,2.34,0,0,2,0
2064,0.99,2.16,1,0,1,0
2065,0.54,2.3,1,1,1,2
2066,0.33,3.35,0,0,0,0
2067,0.25,3.05,2,0,3,0
2068,0.16,2.45,1,1,2,1
2069,0.32,2.68,1,0,2,0
2070,-0.72,2.71,1,1,2,2
2071,-1.86,3.08,0,1,1,3
2072,-0.1,2.54,1,0,1,0
2073,1.62,3.25,1,1,1,1
2074,-0.73,2.94,0,0,0,0
2075,0.15,3.18,1,1,2,2
2076,0.84,3.12,1,1,2,4
2077,0.44,2.11,1,1,1,1
2078,0.15,2.7,0,1,0,1
2079,1.22,3.08,0,1,0,2
2080,-1.24,3.08,1,1,2,1
2081,0.3,2.59,0,0,1,0
2082,-1.66,2.67,1,1,1,2
2083,1.26,2.8,1,0,2,1
2084,0.57,2.54,1,0,2,0
2085,0.57,2.92,0,0,0,2
2086,0.24,2.26,0,0,0,0
2087,0.33,2.49,2,0,2,0
2088,0.39,2.79,0,0,1,1
2089,0.39,2.96,1,0,1,2
2090,0.44,2.45,0,0,0,1
2091,0.34,3.13,1,1,2,2
2092,0.25,2.44,1,0,2,0
2093,0.08,2.62,0,1,1,3
2094,-0.68,3.21,1,0,1,0
2095,0.28,2.67,1,0,1,0
2096,0.94,2.53,0,1,2,3
2097,0.37,2.6,0,0,0,0
2098,-0.23,2.58,1,1,1,2
2099,0.18,2.84,0,2,1,2
2100,-0.03,2.83,0,1,1,2
2101,-0.2,2.6,1,1,3,2
2102,1.46,3.17,2,0,3,0
2103,-0.21,2.39,0,0,0,0
2104,1.19,2.31,0,0,1,1
2105,0.66,3.16,0,1,0,1
2106,0.33,2.76,0,0,0,2
2107,0.44,2.61,0,0,1,0
2108,-1.14,2.87,1,2,1,4
2109,0.34,2.13,1,0,2,1
2110,0.06,2.29,1,0,3,1
2111,1.2,2.9,2,0,4,0
2112,-0.45,2.35,1,1,2,2
2113,0.58,2.87,1,0,1,1
2114,0.53,2.29,1,0,1,1
2115,-0.07,3.31,2,2,4,2
2116,-0.77,2.5,1,1,2,3
2117,0.97,2.07,1,0,2,1
2118,-0.03,2.76,2,0,3,1
2119,0.3,2.46,1,1,2,1
2120,-0.66,2.71,0,0,0,0
2121,-0.09,3.03,0,0,0,1
2122,0.14,2.38,0,0,0,0
2123,-0.11,2.68,1,0,2,1
2124,0.72,2.41,1,0,1,0
2125,0.87,2.35,0,2,2,2
2126,0.33,2.81,2,1,2,1
2127,0.23,2.6,0,0,3,0
2128,0.3,2.15,0,0,0,0
2129,1.18,2.72,2,0,4,0
2130,0.96,2.71,1,1,2,1
2131,-0.76,2.24,0,1,0,2
2132,-0.31,3.08,0,0,0,3
2133,0.47,2.61,2,1,3,3
2134,-0.08,2.52,0,1,1,2
2135,1.5,2.8,0,0,1,1
2136,0.44,2.63,2,0,3,0
2137,0.16,2.29,0,0,4,0
2138,0.45,2.07,0,0,0,0
2139,1.71,3.02,1,1,1,1
2140,0.02,2.28,0,1,1,1
2141,-0.17,2.53,1,0,1,2
2142,0.5,2.24,2,1,4,1
2143,-0.77,2.46,1,1,2,3
2144,0.47,3.3,1,1,1,2
2145,0.13,2.42,0,1,0,1
2146,0.02,2.52,1,0,2,0
2147,1.01,2.83,0,0,0,0
2148,-0.68,2.8,0,1,0,1
2149,0.15,3,0,1,0,2
2150,0.66,3.17,1,1,3,2
2151,0.49,3.09,2,0,2,1
2152,0.48,2.51,1,1,1,1
2153,-1.41,3.38,0,1,0,2
2154,0.83,3.11,1,0,4,0
2155,0.42,2.42,1,1,1,1
2156,1.13,2.85,0,1,1,1
2157,0.87,2.53,1,1,1,2
2158,-0.77,2.19,0,2,0,2
2159,-0.41,3.33,0,0,1,1
2160,0.6,3.24,0,2,1,3
2161,0.3,2.6,0,0,1,1
2162,0.39,2.29,0,2,1,2
2163,0.52,2.53,0,0,0,1
2164,0.02,2.84,3,0,5,1
2165,0.73,2.38,1,0,2,0
2166,0.06,2.71,0,0,1,1
2167,-0.06,2.45,0,1,0,2
2168,0.05,2.8,0,4,1,5
2169,1.82,2.85,0,0,1,0
2170,0.11,3.21,0,0,0,1
2171,0.78,2.47,0,0,2,0
2172,-0.5,2.96,0,1,1,2
2173,1.34,3.32,1,0,2,2
2174,1.47,3.11,1,1,1,1
2175,0.13,2.55,0,0,0,1
2176,-0.45,2.32,1,1,2,1
2177,0.41,2.53,2,0,3,0
2178,-0.17,2.87,0,0,1,0
2179,-0.1,2.18,1,1,1,2
2180,1.43,2.77,1,0,3,1
2181,1.54,2.77,0,0,1,0
2182,1.22,3.12,1,1,2,1
2183,0.94,3.15,1,2,3,4
2184,0.19,2.56,1,0,2,0
2185,0.89,2.66,1,0,1,0
2186,-0.42,3.14,0,0,1,3
2187,0.56,2.64,0,0,2,0
2188,0.71,2.56,1,0,2,0
2189,1.27,3.2,0,1,3,1
2190,0.91,2.64,2,0,2,1
2191,1.12,2.77,1,0,4,2
2192,-0.39,3.37,0,1,0,2
2193,-0.01,2.44,1,1,2,2
2194,1.04,2.41,1,0,1,1
2195,0.36,2.15,0,0,0,1
2196,0,2.62,0,1,1,1
2197,0.34,2.25,2,1,3,1
2198,0.6,3,0,0,2,1
2199,0.13,2.57,0,0,3,0
2200,0.08,2.62,0,0,0,0
2201,-0.33,2.87,1,0,2,1
2202,-0.19,2.86,0,1,2,1
2203,-0.14,2.1,0,0,0,1
2204,1.7,2.39,1,1,2,1
2205,0.83,2.66,0,0,2,1
2206,-0.07,2.19,0,0,2,2
2207,0.6,2.41,0,0,0,0
2208,0.93,2.5,1,0,2,0
2209,1.71,3.22,1,0,1,0
2210,1.12,2.33,1,0,3,1
2211,-0.06,2.5,1,0,2,1
2212,0.22,2.57,2,0,4,2
2213,-0.43,2.65,0,1,0,2
2214,0.37,2.01,1,0,1,0
2215,-0.1,2.73,0,1,0,3
2216,0.48,2.41,1,0,4,0
2217,-0.72,2.88,0,1,1,2
2218,0.54,2.9,0,1,1,2
2219,0.13,2.17,2,1,3,1
2220,0.13,2.11,1,0,2,2
2221,-1,2.84,2,0,2,1
2222,-0.64,2.69,0,1,0,2
2223,0.05,2.69,1,0,1,0
2224,0.1,2.48,1,2,1,3
2225,-1.33,2.9,0,1,0,2
2226,0.41,2.33,2,1,3,3
2227,0.59,2.85,3,1,5,1
2228,1.22,2.62,1,1,3,3
2229,-0.11,2.74,0,0,1,0
2230,-0.14,2.48,0,0,2,2
2231,0.32,2.49,2,0,3,1
2232,0.28,2.34,2,1,4,2
2233,-0.23,2.34,0,2,1,2
2234,1.3,3.39,0,0,2,0
2235,-0.22,2.52,2,1,2,2
2236,-0.19,2.47,0,1,0,2
2237,-1.17,2.4,0,1,0,2
2238,0.87,2.83,0,0,2,0
2239,1.09,2.6,0,0,1,1
2240,-1.32,2.6,0,2,2,2
2241,-0.05,2.57,0,0,0,0
2242,0.29,2.9,0,1,0,2
2243,0.58,2.47,0,0,1,1
2244,0.52,2.35,2,1,6,1
2245,0.07,2.42,0,0,1,1
2246,-0.13,2.42,0,0,1,0
2247,1.17,2.58,2,1,3,1
2248,1.67,3.07,2,3,4,5
2249,1.06,3.09,1,0,2,1
2250,1.18,3.06,0,0,0,1
2251,0.6,2.55,1,0,1,0
2252,-0.15,2.64,1,0,2,0
2253,1.44,3.06,2,0,2,0
2254,0.52,2.41,1,0,1,0
2255,1.35,2.89,2,0,5,1
2256,0.16,2.41,1,0,1,1
2257,0.55,2.8,0,0,0,0
2258,1.01,3.16,0,1,2,2
2259,-0.73,2.26,0,1,0,4
2260,-0.25,2.52,0,1,0,2
2261,0.01,2.84,1,0,2,1
2262,-0.46,2.8,1,0,1,0
2263,0.1,2.4,0,0,2,1
2264,0.81,2.73,0,0,2,0
2265,0.89,3.02,2,1,2,1
2266,1.67,3.06,1,0,2,1
2267,0.31,2.69,2,0,6,0
2268,0.53,2.43,1,0,2,0
2269,-0.13,3.05,0,0,0,2
2270,0.7,2.88,1,1,2,2
2271,0.12,2.34,0,0,1,1
2272,-0.31,2.62,0,0,1,4
2273,1.02,2.35,0,0,1,0
2274,1.04,2.71,0,0,0,2
2275,1.53,2.5,0,0,3,0
2276,0.63,3.05,0,1,1,3
2277,-1.64,2.79,0,1,0,1
2278,1.37,3.16,0,0,1,0
2279,-0.01,2.67,1,1,2,1
2280,0.65,2.19,1,1,4,1
2281,0.36,2.21,1,1,1,1
2282,0.25,2.34,0,0,0,2
2283,0.99,2.71,1,0,2,0
2284,-0.53,2.21,1,1,1,1
2285,-0.3,2.89,0,1,0,4
2286,0.09,2.37,0,2,0,3
2287,-1.44,2.62,0,1,0,3
2288,0.42,2.27,1,0,3,0
2289,0.87,3.21,1,1,2,1
2290,0.67,2.43,1,0,1,1
2291,0.47,3.12,2,0,3,0
2292,-0.66,2.84,0,0,0,1
2293,-0.38,2.83,1,1,3,1
2294,0.6,2.32,0,0,2,2
2295,-0.87,3.11,1,1,1,2
2296,-1.77,3.06,0,0,0,0
2297,0.35,3.11,0,1,1,2
2298,0.63,2.85,1,0,1,0
2299,0.51,2.73,1,0,2,0
2300,0.64,2.45,0,0,1,0
2301,-0.93,2.87,1,0,1,1
2302,0.38,2.73,1,0,2,0
2303,0.86,2.67,1,0,2,0
2304,1.1,3.11,1,0,4,0
2305,1.24,2.95,0,0,0,1
2306,0.84,2.74,0,0,0,0
2307,0.53,3.35,2,2,2,2
2308,0.17,2.36,0,0,1,1
2309,-0.58,2.42,0,1,2,2
2310,0.27,2.07,0,0,1,1
2311,0.26,2.7,0,0,0,0
2312,1.38,2.91,0,0,1,2
2313,0.42,2.46,0,1,0,1
2314,-0.22,2.6,2,3,4,6
2315,-0.15,2.85,1,0,3,1
2316,-0.29,2.52,0,3,0,3
2317,0.96,2.98,0,0,3,0
2318,0.61,2.87,0,1,2,1
2319,0.08,2.82,1,1,2,1
2320,0.56,2.8,1,0,1,0
2321,-0.35,2.49,2,0,2,1
2322,0.45,2.37,1,3,5,4
2323,-0.68,2.16,0,1,1,1
2324,0.72,3.15,2,1,4,2
2325,0.85,2.69,2,1,2,2
2326,1.09,2.67,0,0,0,0
2327,0.94,2.53,1,0,2,0
2328,0.39,2.08,1,0,2,0
2329,-0.6,2.38,0,2,2,2
2330,-0.35,2.51,1,0,1,0
2331,0.26,2.81,2,0,2,0
2332,1.11,2.85,1,0,1,0
2333,0.58,2.76,0,1,0,1
2334,1.7,2.59,1,0,2,1
2335,-0.41,2.53,0,0,0,0
2336,-0.07,2.83,0,0,0,0
2337,0.54,2.29,0,0,0,0
2338,-0.91,3.04,0,0,0,0
2339,-0.12,3.02,1,1,2,2
2340,0.28,3.12,0,1,0,2
2341,0.79,2.74,0,0,0,0
2342,0.93,2.48,1,0,2,0
2343,0.12,2.54,1,0,2,0
2344,0.34,3.05,0,1,1,2
2345,-0.56,2.63,1,0,2,0
2346,-0.14,2.79,0,0,2,1
2347,-0.78,2.55,0,0,0,0
2348,0.42,3.07,0,0,0,0
2349,-1.44,3.14,0,1,2,4
2350,0.23,2.4,2,0,2,2
2351,0.7,2.3,0,0,0,0
2352,-0.04,2.99,0,0,2,0
2353,1.2,2.83,0,0,2,0
2354,1.07,2.25,0,1,1,2
2355,0.44,2.2,1,0,2,1
2356,1.73,3.36,0,0,1,0
2357,0.2,2.49,2,0,3,2
2358,0.53,2.44,0,0,1,1
2359,0.4,2.09,0,1,2,1
2360,0.09,2.38,0,1,0,1
2361,0.07,2.45,2,0,3,0
2362,0.26,2.38,0,0,1,1
2363,-0.36,2.3,0,0,1,1
2364,-1.66,2.62,0,3,0,3
2365,1.66,3.38,1,1,2,2
2366,0.82,2.95,1,0,1,1
2367,0.83,2.72,0,0,2,0
2368,1.89,3.35,3,0,3,0
2369,1.95,3.05,0,0,1,0
2370,-0.86,2.85,0,2,0,3
2371,0.68,3.02,2,1,2,1
2372,-1.1,2.3,0,1,1,2
2373,-0.61,2.89,2,0,2,0
2374,0.4,2.31,0,0,3,0
2375,0.47,2.55,1,0,1,0
2376,1.54,2.75,1,0,2,1
2377,1.32,2.84,2,1,3,1
2378,-0.04,2.67,0,0,2,1
2379,-0.12,2.79,1,0,3,1
2380,-0.62,2.5,0,3,0,3
2381,-0.6,2.68,0,0,0,0
2382,1.48,3.37,1,0,3,1
2383,-0.82,2.56,1,1,2,1
2384,-1.43,2.61,0,2,1,4
2385,-0.12,2.52,0,1,0,1
2386,0.57,3.29,1,0,1,1
2387,0.63,2.62,0,0,0,0
2388,0.53,2.7,0,1,0,1
2389,-0.01,3.02,0,1,1,1
2390,0.77,2.29,1,0,1,0
2391,-0.87,2.72,0,0,2,0
2392,-0.26,2.27,1,0,1,0
2393,0.24,3.24,0,0,0,0
2394,-0.27,2.77,1,1,2,1
2395,-0.3,2.58,0,0,0,2
2396,0.97,2.49,0,0,3,0
2397,-1.4,3.22,1,2,1,4
2398,0.75,2.6,0,0,3,1
2399,0.97,2.15,0,0,1,0
2400,0.56,2.41,2,0,2,1
2401,-0.79,2.8,1,2,1,3
2402,0.74,2.77,0,0,1,2
2403,-0.23,2.54,0,1,1,2
2404,1.77,2.79,2,1,3,1
2405,-0.6,3.05,1,1,1,4
2406,1.03,2.4,1,0,1,0
2407,1.34,2.71,1,0,1,0
2408,-0.09,2.77,0,1,3,1
